0	4	2.5
0.1	4.158031953	0.854889988
0.2	4.200147863	0.08963165736
0.3	4.190021152	-0.2461080589
0.4	4.157075103	-0.393120064
0.5	4.114005391	-0.4599566902
0.6	4.066185797	-0.4929145291
0.7	4.015889838	-0.5115102087
0.8	3.964081689	-0.5240249277
0.9	3.911166623	-0.5340260297
1	3.857307087	-0.5430831394
1.1	3.8025574	-0.5519070774
1.2	3.746922052	-0.5608344026
1.3	3.690381255	-0.570036563
1.4	3.632902237	-0.579611898
1.5	3.574444193	-0.5896267343
1.6	3.514960425	-0.6001346082
1.7	3.454399127	-0.6111854773
1.8	3.392703486	-0.6228301864
1.9	3.329811443	-0.6351230663
2	3.26565526	-0.648123641
2.1	3.200160917	-0.661897971
2.2	3.133247396	-0.6765199478
2.3	3.064825859	-0.6920728042
2.4	2.994798631	-0.7086505043
2.5	2.923058036	-0.7263593652
2.6	2.849485041	-0.7453199956
2.7	2.773947721	-0.7656697293
2.8	2.696299516	-0.7875656538
2.9	2.616377057	-0.8111874131
3	2.533997676	-0.8367407192
3.1	2.448956638	-0.8644620365
3.2	2.36102391	-0.8946237865
3.3	2.269940147	-0.9275390131
3.4	2.175412338	-0.9635679288
3.5	2.077108971	-1.003125158
3.6	1.97465397	-1.046684575
3.7	1.867620668	-1.094786353
3.8	1.755525041	-1.148039789
3.9	1.6378185	-1.207120608
4	1.513882191	-1.272763849
4.1	1.383021503	-1.345732461
4.2	1.244466465	-1.426774256
4.3	1.097376294	-1.516518728
4.4	0.9408598543	-1.615332432
4.5	0.774011697	-1.723063688
4.6	0.5959828718	-1.838671271
4.7	0.4060944056	-1.959700159
4.8	0.2040107564	-2.081602874
4.9	-0.01001317182	-2.196995594
5	-0.2348155948	-2.295079914
5.1	-0.4679814096	-2.36165544
5.2	-0.7055490079	-2.380323166
5.3	-0.9419191557	-2.335353943
5.4	-1.170129895	-2.216013128
5.5	-1.382585374	-2.020988406
5.6	-1.572139363	-1.760668014
5.7	-1.733219477	-1.455528458
5.8	-1.862599163	-1.130957707
5.9	-1.959570236	-0.8109488483
6	-2.025548177	-0.5134463545
6.1	-2.063358002	-0.2486643027
6.2	-2.076487547	-0.0199187556
6.3	-2.068494801	0.1743231905
